3,6,9,3,0,0,20,0
4,6,6,6,0,1,10,0
3,6,9,3,1,0,20,0
4,6,6,6,1,1,10,0
3,6,9,3,1,0,20,04,6,6,6,0,0,10,0
5,10,9,8,0,1,20,0
5,10,9,8,1,1,20,0
2,10,3,10,1,1,20,1
4,6,6,6,0,0,10,0
6,5,3,8,0,0,40,0
6,7,6,6,0,1,30,0
4,6,6,6,0,1,60,0
7,7,6,6,1,1,20,1
4,6,9,8,0,1,20,0
5,7,3,4,1,1,40,0
1,1,10,10,1,1,50,0
5,6,3,6,1,1,20,0
7,1,4,2,0,1,40,0
6,1,10,8,0,1,20,0
4,6,6,6,0,0,10,0
4,6,6,6,0,1,90,1
4,6,6,6,1,1,10,0
4,6,6,6,0,0,10,0
1,1,1,1,1,0,60,1
1,1,1,1,0,1,60,1
1,1,10,1,1,1,20,0
2,2,1,2,0,0,40,0
5,4,8,7,1,0,30,0
5,9,10,1,0,1,20,0
3,8,4,7,0,0,30,0
1,6,6,10,0,1,40,0
6,3,3,3,0,1,20,0
